Internet_Movie_Database_Rating,Metacritic_Rating,Rotten_Tomatoes_Rating
5.2/10,,
5.1/10,,
6.2/10,,
6.1/10,,
6.5/10,,
8.3/10,96/100,98%
5.4/10,,
6.4/10,,
6.4/10,,
6.3/10,,
4.6/10,,
5.9/10,,
5.1/10,,
6.3/10,,
7.9/10,99/100,97%
6.3/10,,
7.8/10,,99%
7.2/10,85/100,92%
5.7/10,,
4.7/10,,
6.7/10,,95%
6.7/10,,
7.0/10,,
8.1/10,,98%
,,
8.2/10,93/100,100%
6.6/10,,
6.0/10,,
7.8/10,,100%
6.8/10,,
5.3/10,,
6.0/10,,
7.2/10,,78%
6.5/10,,
7.1/10,,
6.2/10,,
6.4/10,,
5.1/10,,
7.9/10,84/100,97%
6.5/10,,
6.2/10,,
6.7/10,,80%
6.6/10,,88%
5.8/10,,
7.5/10,,78%
5.2/10,,
6.3/10,,60%
8.0/10,,95%
6.2/10,,
6.2/10,,
4.9/10,,
6.7/10,60/100,90%
6.5/10,71/100,80%
7.0/10,,
6.9/10,,
7.4/10,72/100,94%
4.4/10,,
5.8/10,63/100,81%
5.8/10,,
6.3/10,,
7.4/10,89/100,95%
5.1/10,,
5.6/10,,
6.1/10,,
5.6/10,,
5.4/10,,
6.2/10,54/100,64%
5.8/10,68/100,63%
5.4/10,,
7.1/10,95/100,93%
6.1/10,,
6.9/10,,86%
4.3/10,,
7.0/10,66/100,70%
5.4/10,,
7.5/10,,
7.5/10,,
6.4/10,68/100,78%
8.0/10,86/100,96%
5.8/10,,
7.5/10,89/100,93%
5.1/10,,
5.2/10,,
7.0/10,53/100,93%
7.4/10,64/100,80%
7.3/10,75/100,91%
6.9/10,,
6.4/10,,60%
6.4/10,,
5.9/10,,
5.2/10,,
6.2/10,,
7.4/10,79/100,91%
7.0/10,,
6.6/10,,
7.6/10,74/100,89%
5.5/10,,
5.2/10,,
7.1/10,,95%
6.2/10,61/100,65%
6.9/10,,
6.4/10,,
6.4/10,44/100,60%
6.4/10,66/100,
6.3/10,41/100,36%
6.3/10,53/100,48%
4.5/10,,
4.8/10,,
7.6/10,82/100,100%
5.1/10,35/100,21%
5.6/10,,20%
6.1/10,44/100,57%
6.2/10,,
7.2/10,43/100,62%
6.8/10,,
6.4/10,,
4.8/10,27/100,33%
8.4/10,,
6.9/10,,
6.1/10,61/100,69%
6.8/10,,
4.7/10,,
6.8/10,73/100,83%
5.9/10,51/100,56%
6.7/10,36/100,44%
6.0/10,,
7.5/10,,100%
6.8/10,,100%
4.0/10,,
7.5/10,58/100,88%
5.8/10,,
4.7/10,,13%
6.6/10,,
6.9/10,,
7.7/10,64/100,76%
5.6/10,,
6.9/10,56/100,55%
7.4/10,67/100,70%
7.2/10,90/100,95%
6.7/10,56/100,
5.4/10,,
4.7/10,,
8.2/10,,
7.0/10,,
4.4/10,26/100,0%
6.2/10,71/100,79%
5.4/10,,
5.3/10,,27%
8.1/10,100/100,100%
6.2/10,,
8.9/10,,
6.2/10,54/100,64%
6.9/10,53/100,59%
6.5/10,55/100,82%
5.4/10,46/100,45%
5.3/10,44/100,39%
4.2/10,,
5.2/10,,
5.9/10,,
8.0/10,73/100,82%
7.7/10,63/100,77%
8.6/10,61/100,79%
7.6/10,78/100,80%
7.1/10,74/100,86%
7.4/10,75/100,71%
6.9/10,64/100,80%
4.9/10,,
6.6/10,43/100,47%
5.3/10,,
7.3/10,,
5.2/10,,
7.4/10,,
6.0/10,,
3.5/10,,
6.9/10,,
6.5/10,,
7.5/10,75/100,88%
3.9/10,,
4.2/10,,
7.0/10,61/100,73%
8.4/10,,
4.9/10,,
5.7/10,,
7.5/10,68/100,84%
7.3/10,51/100,54%
6.3/10,48/100,51%
5.6/10,28/100,31%
6.1/10,,
6.3/10,,
6.0/10,51/100,59%
6.7/10,,
7.9/10,94/100,98%
6.3/10,35/100,16%
5.6/10,,
4.0/10,,
5.7/10,34/100,14%
,,
4.4/10,,
6.6/10,,
4.8/10,,
8.0/10,,
7.3/10,,
5.2/10,33/100,30%
6.1/10,28/100,
4.6/10,,
7.6/10,,
8.3/10,,
5.8/10,34/100,21%
6.4/10,77/100,73%
6.1/10,,
6.0/10,31/100,21%
5.4/10,29/100,13%
5.2/10,35/100,17%
6.5/10,,
7.7/10,,
4.8/10,,
8.5/10,,
7.4/10,45/100,47%
6.7/10,47/100,56%
7.1/10,63/100,64%
6.9/10,69/100,75%
6.5/10,,
7.8/10,61/100,67%
5.8/10,32/100,32%
6.4/10,71/100,
6.8/10,,82%
3.8/10,,11%
5.8/10,,
4.9/10,,
5.8/10,41/100,35%
7.2/10,,
7.2/10,60/100,69%
7.0/10,,
7.9/10,,
8.0/10,,
6.2/10,43/100,42%
4.5/10,,
5.4/10,,
5.6/10,39/100,33%
5.6/10,49/100,35%
5.5/10,56/100,41%
4.1/10,19/100,10%
4.2/10,,
8.2/10,,
5.9/10,,
7.5/10,71/100,75%
2.1/10,15/100,3%
6.6/10,42/100,49%
7.8/10,,89%
6.1/10,,83%
2.6/10,,
4.8/10,47/100,35%
6.9/10,72/100,73%
4.4/10,57/100,45%
7.2/10,67/100,68%
