Director
"George Bellamy, J. Gordon Edwards"
William S. Hart
Sidney Franklin
Tod Browning
Hobart Henley
Dziga Vertov
Henry MacRae
George Fitzmaurice
Alfred E. Green
Rouben Mamoulian
James Whale
Howard Hawks
Fernando de Fuentes
Clyde E. Elliott
J. Elder Wills
Karl Freund
James Flood
Louis King
Victor Saville
Richard Eichberg
Edmund Goulding
Leo McCarey
Jean Renoir
Raoul Walsh
Al Christie
W.S. Van Dyke
Lloyd Bacon
S. Sylvan Simon
Jacques Tourneur
Paul L. Stein
Sam Newfield
Charles Vidor
André De Toth
"Spencer Gordon Bennet, Wallace Grissell"
"Jack Kinney, Burt Gillett"
Frank Launder
Phil Karlson
Henry Hathaway
Robert Siodmak
Joseph H. Lewis
Lewis Milestone
Delmer Daves
Rudolph Maté
"Michael Powell, Emeric Pressburger"
Gustaf Edgren
Yasujirô Ozu
"Robert Siodmak, Mervyn LeRoy"
Francis Searle
Akira Kurosawa
William Dieterle
Jean Genet
N/A
Willi Forst
Frank McDonald
Spencer Gordon Bennet
Lew Landers
George Seaton
Arnold Laven
Joseph Losey
"Aleksandr Ivanovsky, Nadezhda Kosheverova"
"Henry King, Otto Lang"
Robert D. Webb
Youssef Chahine
Roy Ward Baker
Jerry Hopper
Terence Young
Lewis Gilbert
Billy Wilder
Richard Brooks
"Maurice Labro, Claude Sautet"
Hugo Fregonese
Mervyn LeRoy
William Castle
Fritz Lang
Masaki Kobayashi
J. Lee Thompson
Delbert Mann
George Cukor
Luigi Capuano
Timothy Carey
Fons Rademakers
Stanley Kubrick
Robert Mulligan
Larry Roemer
Blake Edwards
Cheh Chang
Norman Tokar
Claude Chabrol
Elliot Silverstein
Leslie H. Martinson
Charles Crichton
Paul Wendkos
Ousmane Sembene
"Woody Allen, Senkichi Taniguchi"
Arthur Hiller
Dino Risi
James Clavell
Jack Cardiff
William Wyler
Alex Lovy
R.G. Springsteen
Robert Stevenson
Dan Curtis
Roy Andersson
Hawley Pratt
