Title,Year,Rated,Released,Runtime,Plot,Poster,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice
The Tiger Woman,1917,N/A,18 Feb 1917,60 min,"The wicked princess ruins an ambassador, causes a son to kill his father, breaks up the boy's brother's marriage and is finally forced to stab herself by a valet whom she earlier had imprisoned. The ending title is ""The wages of sin is death.""",https://m.media-amazon.com/images/M/MV5BODNjNGQxYzYtMDFhYi00Yjc3LTg5NmUtYWM0YWJhMDMxZDA4XkEyXkFqcGdeQXVyNzk3ODM4NQ@@._V1_SX300.jpg,N/A,5.2,14,tt0008677,N/A
The Tiger Man,1918,N/A,01 Apr 1918,50 min,"Hawk Parsons and his gang of ruthless outlaws escape from jail and ride far into the New Mexican desert, where they discover a band of emigrants stranded without water. Hawk is so smitten with Ruth Ingram, the wife of the Rev. Luke Ingram, that he agrees to lead the wagon train to safety, but on the way, the party is attacked by Indians. In the distance, Hawk sees U.S. cavalry troops on horseback, but because several members of the posse assigned to track him down are included in the band, he hesitates to send them a distress signal. Finally, Hawk allows the travelers to send their message on the condition that he may leave with Ruth, and as the wagon train is rescued, he reaches his mountain lair with the woman he loves. When Ruth attempts suicide, Hawk then realizes his selfishness, and after returning her to her husband, he turns himself over to the sheriff.",https://m.media-amazon.com/images/M/MV5BOWUwOTVlZjgtZmU1Ni00MDM0LWExNDQtYjkyZWEwYjRmOWUzXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,N/A,5.1,19,tt0009700,N/A
Tiger Rose,1923,N/A,15 Dec 1923,80 min,"Originally a Broadway play by Willard Macks, Lenore Ulric played the lead on Broadway and reprises her role for this film. At the Wutchi Wum trading post In the peaceful Loon River Valley, deep in the Canadian Northwest comes a story of love, vengeance and sacrifice. Having lived at the trading post following the death of her father, Rose will soon fall in love. But when her new love is in trouble, Rose will discover that she is capable of much more than she thought in order to keep him safe.",https://m.media-amazon.com/images/M/MV5BN2ZlODRkMTItMDNlZi00YTcyLWE5MjgtZjE0ZmMyOWFkMjIzXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.2,61,tt0014547,N/A
White Tiger,1923,Passed,17 Dec 1923,86 min,"Sylvia Donovan, Roy Donovan, and ""Count Donelli"" are three international crooks who come to America. Sylvia and Roy are unaware that they are brother and sister. The three cooperate to rob wealthy homes by using a gimmick known as a chess-playing machine. Eventually, Sylvia and Roy learn that they are brother and sister and that ""Count Donelli,"" alias Hawkes, killed their father. The detective and Sylvia fall in love.",https://m.media-amazon.com/images/M/MV5BZWZkNzlmZGItMjY0My00YTQyLWJjMzMtYmFlY2VkMmQ0OWVjXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.1,270,tt0014606,N/A
His Tiger Wife,1928,Passed,27 May 1928,50 min,"A variety extra falls in love with a beautiful duchess, and tries to impress her by posing as a rajah. He tells her the truth before anything happens, and leaves.",https://m.media-amazon.com/images/M/MV5BMGMyYjUwZWYtZGNmMC00ZDVhLWE4MDItNTQ0NDU4MDYxZWI0XkEyXkFqcGdeQXVyNjg2NjExMzY@._V1_SX300.jpg,N/A,6.5,13,tt0019004,N/A
Man with a Movie Camera,1929,Not Rated,12 May 1929,68 min,"This playful film is at once a documentary of a day in the life of the Soviet Union, a documentary of the filming of said documentary, and a depiction of an audience watching the film. Even the editing of the film is documented. We often see the cameraman who is purportedly making the film, but we rarely, if ever, see any of the footage he seems to be in the act of shooting!",https://m.media-amazon.com/images/M/MV5BZDkzOTYyM2MtYzBmOC00NzIxLThkOGUtNzk5NjI0OWRjZjgzXkEyXkFqcGc@._V1_SX300.jpg,96,8.3,"28,738",tt0019760,N/A
Tarzan the Tiger,1929,Passed,09 Dec 1929,266 min,"After Tarzan's estate is destroyed by Arabs Jane is sold into slavery by a man posing as a friendly scientist. Tarzan develops amnesia after a blow to the head. When he recovers his memory (from a later blow) he defeats the villain, recovers the fabulous jewels of Opar, and rescues Jane.",https://m.media-amazon.com/images/M/MV5BMjEzOTA3MzA5N15BMl5BanBnXkFtZTcwMDcxNDczMQ@@._V1_SX300.jpg,N/A,5.4,158,tt0020481,N/A
Tiger Rose,1929,Passed,21 Dec 1929,63 min,"The spirited young Rose is sought by all the men in a Canadian district. Rose is also loved by sergeant Devlin from the Northwest Mounted Police. Rose, however, has affection only for the railroad worker Bruce, who comes to take her away with him to the big city. Bruce kills Dr. Cusick who tries to prevent Rose from leaving her native haunts. After the murder there is a chase in which Devlin captures Bruce only to release him because of his love for Rose.",https://m.media-amazon.com/images/M/MV5BMzM1NGJlOGQtOTA4ZC00NjkwLTk5YTgtNTkxNGNhY2EwYzhkXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,N/A,6.4,29,tt0020503,N/A
The Dark Horse,1932,Passed,16 Jun 1932,75 min,"Zachary Hicks is nominated at the Progressive party's convention even though he has little chance of winning the governorship. Kay suggests the party bosses hire Hal Blake (whom she loves) as campaign manager. Hal is in jail for falling behind in his alimony payments to Maybelle, but Kay convinces the politicians to seem him in prison, Impressed with the speech they hear him deliver to a cellmate, the committee pays Hal's fine and back alimony payments. Hal takes on the campaign and several marital arrangements.",https://m.media-amazon.com/images/M/MV5BZTIyZWI5MDEtZTZhNC00ZmZlLWIyMDQtODcyYTA0NjYwZDZkXkEyXkFqcGc@._V1_SX300.jpg,N/A,6.7,"1,386",tt0022802,N/A
Love Me Tonight,1932,Passed,18 Aug 1932,104 min,"When Parisienne tailor Maurice Courtelin learns that one of his aristocratic clients, the Viscount Gilbert de Varèze, is a deadbeat who never pays for the merchandise he acquires, he heads off to try and collect what is owed to him. He gets little in the way of cash from the Viscount who is desperate that his uncle, the Duke D'Artelines not learn of his debts. He suggests that Maurice spend a little time at the chateau until the money can be found. The Duke takes an immediate liking to Maurice - who's been introduced as a Baron - but that's not the case for the Princess Jeanette who, after an encounter with him him on the road earlier that day. Over time Jeannette falls in love with him",https://m.media-amazon.com/images/M/MV5BZDFmODE1ODItNDhhMy00YjdmLTgyOTAtOWZkNTBkNTA2N2RmXkEyXkFqcGc@._V1_SX300.jpg,N/A,7.5,"4,748",tt0023158,N/A
