imdbid,director
tt0008677,George Bellamy
tt0008677,J. Gordon Edwards
tt0009700,William S. Hart
tt0014547,Sidney Franklin
tt0014606,Tod Browning
tt0019004,Hobart Henley
tt0019760,Dziga Vertov
tt0020481,Henry MacRae
tt0020503,George Fitzmaurice
tt0023594,Howard Hawks
tt0024671,Fernando de Fuentes
tt0025048,Clyde E. Elliott
tt0025896,J. Elder Wills
tt0027349,Louis King
tt0030871,Richard Eichberg
tt0031885,Jean Renoir
tt0032566,Al Christie
tt0032599,Howard Hawks
tt0034587,Jacques Tourneur
tt0036324,Paul L. Stein
tt0036439,Sam Newfield
tt0036723,Charles Vidor
tt0037378,Spencer Gordon Bennet
tt0037378,Wallace Grissell
tt0038174,Jack Kinney
tt0038174,Burt Gillett
tt0040725,Michael Powell
tt0040725,Emeric Pressburger
tt0040853,Gustaf Edgren
tt0041154,Yasujirô Ozu
tt0041430,Robert Siodmak
tt0041430,Mervyn LeRoy
tt0041627,Francis Searle
tt0041699,Akira Kurosawa
tt0044098,Willi Forst
tt0045129,Frank McDonald
tt0045300,Spencer Gordon Bennet
tt0046874,George Seaton
tt0047505,Joseph Losey
tt0047628,Aleksandr Ivanovsky
tt0047628,Nadezhda Kosheverova
tt0049854,Roy Ward Baker
tt0049873,Jerry Hopper
tt0050099,Terence Young
tt0051459,Richard Brooks
tt0051604,Maurice Labro
tt0051604,Claude Sautet
tt0051702,Hugo Fregonese
tt0051744,William Castle
tt0052295,Fritz Lang
tt0052964,Robert Siodmak
tt0053361,J. Lee Thompson
tt0056586,Luigi Capuano
tt0056703,Timothy Carey
tt0058536,Larry Roemer
tt0058656,Cheh Chang
tt0058657,Norman Tokar
tt0058658,Claude Chabrol
tt0059017,Elliot Silverstein
tt0060153,Leslie H. Martinson
tt0060492,Charles Crichton
tt0060565,Paul Wendkos
tt0060758,Ousmane Sembene
tt0061095,Claude Chabrol
tt0061177,Woody Allen
tt0061177,Senkichi Taniguchi
tt0062369,Arthur Hiller
tt0062370,Dino Risi
tt0062994,William Wyler
tt0063069,Alex Lovy
tt0063696,R.G. Springsteen
tt0066343,Hawley Pratt
tt0066456,Donald Brittain
tt0067310,Harald Reinl
tt0068612,Ralph Bakshi
tt0068833,Wes Craven
tt0069973,Jesús Franco
tt0069995,Nicolas Roeg
tt0070301,Wei Lo
tt0070640,John G. Avildsen
tt0070705,Wei Lo
tt0070723,Richard Fleischer
tt0070778,Lung Chien
tt0070968,N/A
tt0071007,N/A
tt0072730,L.Q. Jones
tt0072890,Sidney Lumet
tt0073511,Ken Annakin
tt0073582,Dario Argento
tt0074506,Tso Nam Lee
tt0074624,Hung-Chang Wang
tt0074806,Nicolas Gessner
tt0076095,Herbert Ross
tt0076162,Nobuhiko Ôbayashi
tt0076519,Yuen Chor
tt0076716,Sam Wanamaker
tt0076823,Sergio Sollima
tt0077290,See-Yuen Ng
tt0077645,Bruce Le
tt0077645,Luigi Batzella
tt0077645,Richard Harrison
tt0077831,Karl Maka
tt0077975,John Landis
tt0078397,Milan Jelic
tt0079483,Chun-Ku Lu
tt0079588,James Frawley
tt0079803,Jimmy Shaw
tt0082468,Georg Stanford Brown
tt0082477,Bill Forsyth
