imdbid,autor
tt0008677,James W. Adams
tt0008677,Adrian Johnson
tt0009700,J.G. Hawks
tt0014547,David Belasco
tt0014547,Edmund Goulding
tt0014547,Willard Mack
tt0014606,Tod Browning
tt0014606,Charles Kenyon
tt0019004,Herman J. Mankiewicz
tt0019004,Alfred Savoir
tt0019004,Ernest Vajda
tt0019760,Dziga Vertov
tt0020481,Edgar Rice Burroughs
tt0020481,Ford Beebe
tt0020503,Willard Mack
tt0020503,Harvey F. Thew
tt0020503,Gordon Rigby
tt0022802,Joseph Jackson
tt0022802,Wilson Mizner
tt0022802,Courtney Terrett
tt0023158,Samuel Hoffenstein
tt0023158,George Marion Jr.
tt0023158,Waldemar Young
tt0023293,J.B. Priestley
tt0023293,Benn W. Levy
tt0023293,R.C. Sherriff
tt0023594,Houston Branch
tt0023594,Wells Root
tt0023594,Howard Hawks
tt0024671,Jorge Pezet
tt0024671,Fernando de Fuentes
tt0025048,James O. Spearing
tt0025048,Russell G. Shields
tt0025048,Lew Lehr
tt0025896,Eric Ansell
tt0025896,Billie Bristow
tt0025896,John Quin
tt0026264,Lillian Hellman
tt0026264,Mordaunt Shairp
tt0026264,Guy Bolton
tt0026663,Maurice Renard
tt0026663,Florence Crewe-Jones
tt0026663,Guy Endore
tt0027221,Jack Kirkland
tt0027221,Frank Partos
tt0027221,Dale Van Every
tt0027349,Roy Chanslor
tt0027349,Earl Felton
tt0028767,Lajos Biró
tt0028767,Arthur Wimperis
tt0030871,Thea von Harbou
tt0030871,Richard Eichberg
tt0030871,Hans Klaehr
tt0031210,Casey Robinson
tt0031210,George Emerson Brewer Jr.
tt0031210,Bertram Bloch
tt0031593,Delmer Daves
tt0031593,Donald Ogden Stewart
tt0031593,Mildred Cram
tt0031885,Jean Renoir
tt0031885,Carl Koch
tt0031885,Beaumarchais
tt0032383,Grover Jones
tt0032383,Lionel Houser
tt0032383,F. Hugh Herbert
tt0032566,Frederick J. Jackson
tt0032566,Dalton Trumbo
tt0032599,Charles Lederer
tt0032599,Ben Hecht
tt0032599,Charles MacArthur
tt0032617,Leon Gordon
tt0032617,Maurine Dallas Watkins
tt0032617,Octavus Roy Cohen
tt0033616,Lester Cole
tt0033616,John Wexley
tt0033616,Ladislas Fodor
tt0034389,Robert MacGunigle
tt0034389,Harry Clork
tt0034389,Albert Mannheimer
tt0034587,DeWitt Bodeen
tt0036324,Leslie Charteris
tt0036324,Leslie Arliss
tt0036324,Wolfgang Wilhelm
tt0036439,Arthur St. Claire
tt0036723,Virginia Van Upp
tt0036723,Marion Parsonnet
tt0036723,Paul Gangelin
tt0036745,Francis M. Cockrell
tt0036745,Marian B. Cockrell
tt0036745,Joan Harrison
tt0037378,Royal K. Cole
tt0037378,Ronald Davidson
tt0037378,Basil Dickey
tt0038174,Bill Peet
tt0038289,Frank Launder
tt0038289,Sidney Gilliat
tt0038289,Wolfgang Wilhelm
tt0038452,George Callahan
tt0038452,Earl Derr Biggers
tt0038453,Jay Dratler
tt0038453,Bernard C. Schoenfeld
tt0038453,Leo Rosten
tt0038455,Nunnally Johnson
tt0038455,Vladimir Pozner
tt0038958,Martin Berkeley
tt0038958,Dwight V. Babcock
tt0038958,Aubrey Wisberg
tt0038988,Robert Rossen
tt0038988,John Patrick
tt0038988,Robert Riskin
tt0039302,Delmer Daves
tt0039302,David Goodis
tt0040270,Malvin Wald
tt0040270,Oscar Saul
tt0040270,Philip MacDonald
tt0040725,Hans Christian Andersen
tt0040725,Emeric Pressburger
tt0040725,Keith Winter
tt0040853,Gustaf Edgren
tt0040853,Oscar Rydqvist
tt0041154,Kazuo Hirotsu
tt0041154,Kôgo Noda
tt0041154,Yasujirô Ozu
tt0041430,Ladislas Fodor
tt0041430,Christopher Isherwood
tt0041430,René Fülöp-Miller
tt0041627,John Dickson Carr
tt0041627,John Gilling
tt0041627,Francis Searle
tt0041699,Ryûzô Kikushima
tt0041699,Akira Kurosawa
tt0042379,John Meredyth Lucas
tt0042379,Lawrence B. Marcus
tt0042379,Ketti Frings
tt0043084,Jean Genet
tt0043208,N/A
tt0044098,Gerhard Menzel
tt0044098,Willi Forst
tt0044098,Georg Marischka
tt0045129,Charles Yerkow
tt0045129,Samuel Roeca
tt0045300,Samuel Newman
tt0045300,Alex Raymond
tt0046036,George Bricker
tt0046036,Jack Leonard
tt0046036,William Sackheim
tt0046874,Clifford Odets
tt0046874,George Seaton
tt0046928,The Gordons
tt0046928,Bernard C. Schoenfeld
tt0047505,Maurice Moiseiwitsch
tt0047505,Harold Buchman
tt0047505,Carl Foreman
tt0047628,Klimenti Mints
tt0047628,Evgeniy Pomeshchikov
tt0048316,John Patrick
tt0048316,Han Suyin
tt0048316,Maurice Griffe
tt0048317,Daniel Fuchs
tt0048317,Isobel Lennart
tt0049452,Robert Buckner
tt0049452,Maurice Geraghty
tt0049761,El Sayed Bedeir
tt0049761,Youssef Chahine
tt0049761,Lezait Fayed
tt0049854,Anthony Pelissier
tt0049854,Margery Allingham
tt0049873,Marcella Burke
tt0049873,Frederick Kohner
tt0049873,Ted Sherdeman
tt0050099,Robert Carson
tt0050099,James Wellard
