imdbid,genre
tt0008677,Drama
tt0009700,Western
tt0014547,Drama
tt0014606,Drama
tt0019004,Drama
tt0019760,Documentary
tt0020481,Action
tt0020481,Adventure
tt0020503,Action
tt0020503,Drama
tt0020503,Music
tt0022802,Comedy
tt0022802,Romance
tt0023158,Comedy
tt0023158,Musical
tt0023158,Romance
tt0023293,Adventure
tt0023293,Comedy
tt0023293,Drama
tt0023594,Drama
tt0023594,Romance
tt0024671,Adventure
tt0024671,Drama
tt0025048,Action
tt0025048,Adventure
tt0025048,Romance
tt0025896,Crime
tt0025896,Drama
tt0025896,Romance
tt0026264,Drama
tt0026264,Romance
tt0026663,Horror
tt0026663,Romance
tt0026663,Sci-Fi
tt0027221,Adventure
tt0027221,Romance
tt0027349,Action
tt0027349,Adventure
tt0027349,Drama
tt0028767,Adventure
tt0028767,Crime
tt0028767,Romance
tt0030871,Drama
tt0031210,Drama
tt0031210,Romance
tt0031593,Comedy
tt0031593,Drama
tt0031593,Romance
tt0031885,Comedy
tt0031885,Drama
tt0032383,Drama
tt0032383,Romance
tt0032383,War
tt0032566,Adventure
tt0032566,Comedy
tt0032566,Mystery
tt0032599,Comedy
tt0032599,Drama
tt0032599,Romance
tt0032617,Comedy
tt0032617,Romance
tt0033616,Comedy
tt0033616,Crime
tt0033616,Mystery
tt0034389,Comedy
tt0034389,Crime
tt0034389,Mystery
tt0034587,Fantasy
tt0034587,Horror
tt0034587,Thriller
tt0036324,Crime
tt0036324,Drama
tt0036324,Mystery
tt0036439,Action
tt0036439,Adventure
tt0036439,Mystery
tt0036723,Comedy
tt0036723,Music
tt0036723,Musical
tt0036745,Drama
tt0036745,Film-Noir
tt0036745,Mystery
tt0037378,Adventure
tt0037378,Thriller
tt0038174,Animation
tt0038174,Comedy
tt0038174,Family
tt0038289,Comedy
tt0038289,Drama
tt0038289,Thriller
tt0038452,Crime
tt0038452,Drama
tt0038452,Mystery
tt0038453,Crime
tt0038453,Drama
tt0038453,Film-Noir
tt0038455,Crime
tt0038455,Drama
tt0038455,Film-Noir
tt0038958,Crime
