imdbid,land
tt0008677,United States
tt0009700,United States
tt0014547,United States
tt0014606,United States
tt0019004,United States
tt0019760,Soviet Union
tt0020481,United States
tt0020503,United States
tt0022802,United States
tt0023158,United States
tt0023293,United States
tt0023594,United States
tt0024671,Mexico
tt0025048,United States
tt0025896,United Kingdom
tt0026264,United States
tt0026663,United States
tt0027221,United States
tt0027349,United States
tt0028767,United Kingdom
tt0030871,Germany
tt0031210,United States
tt0031593,United States
tt0031885,France
tt0032383,United States
tt0032566,United States
tt0032599,United States
tt0032617,United States
tt0033616,United States
tt0034389,United States
tt0034587,United States
tt0036324,United States
tt0036439,United States
tt0036723,United States
tt0036745,United States
tt0037378,United States
tt0038174,United States
tt0038289,United Kingdom
tt0038452,United States
tt0038453,United States
tt0038455,United States
tt0038958,United States
tt0038988,United States
tt0039302,United States
tt0040270,United States
tt0040725,United Kingdom
tt0040853,Sweden
tt0041154,Japan
tt0041430,United States
tt0041627,United Kingdom
tt0041699,Japan
tt0042379,United States
tt0043084,France
tt0043208,United States
tt0044098,West Germany
tt0045129,United States
tt0045300,United States
tt0046036,United States
tt0046874,United States
tt0046928,United States
tt0047505,United Kingdom
tt0047505,United States
tt0047628,Soviet Union
tt0048316,United States
tt0048317,United States
tt0049452,United States
tt0049761,Egypt
tt0049854,United Kingdom
tt0049873,United States
tt0050099,United Kingdom
tt0050099,United States
tt0050233,United Kingdom
tt0050658,United States
tt0051459,United States
tt0051604,France
tt0051702,United Kingdom
tt0051702,United States
tt0051732,United States
tt0051744,United States
tt0052295,West Germany
tt0052295,France
tt0052295,Italy
tt0052964,France
tt0053114,Japan
tt0053361,United Kingdom
tt0053750,United States
tt0054022,United States
tt0056586,Italy
tt0056586,France
tt0056703,United States
tt0056823,Netherlands
tt0057012,United Kingdom
tt0057012,United States
tt0057076,United Kingdom
tt0057076,United States
tt0057263,United States
tt0057379,United Kingdom
tt0057379,United States
tt0058536,United States
tt0058536,Canada
tt0058536,Japan
tt0058586,United Kingdom
tt0058586,United States
tt0058656,Hong Kong
tt0058657,United States
tt0058658,France
tt0058658,Italy
tt0059017,United States
tt0059978,United States
tt0060153,United States
tt0060492,United Kingdom
tt0060565,United States
tt0060758,Senegal
tt0060758,France
tt0061095,France
tt0061095,Spain
tt0061095,Italy
tt0061177,Japan
tt0061177,United States
tt0062369,United States
tt0062370,Italy
tt0062376,United Kingdom
tt0062467,United States
tt0062863,United Kingdom
tt0062863,United States
tt0062994,United States
tt0063069,United States
tt0063696,United States
tt0064603,United States
tt0065856,United States
tt0065955,Sweden
tt0066011,United States
tt0066343,United States
tt0066456,Canada
tt0066456,Japan
tt0066579,United Kingdom
tt0067310,West Germany
tt0067310,Italy
tt0067310,Pakistan
tt0067491,United States
tt0068205,France
tt0068612,United States
tt0068833,United States
tt0069945,United States
tt0069973,France
tt0069992,United States
tt0069995,United Kingdom
tt0069995,Italy
tt0070301,Hong Kong
tt0070640,United States
tt0070705,Hong Kong
tt0070705,United States
tt0070723,United States
tt0070778,Taiwan
tt0070778,Hong Kong
tt0070968,Japan
tt0070968,West Germany
tt0071007,United States
tt0071391,United Kingdom
tt0072157,Japan
tt0072730,United States
tt0072890,United States
tt0073155,France
tt0073155,Italy
tt0073155,West Germany
tt0073312,United States
tt0073511,United Kingdom
tt0073582,Italy
tt0074506,Taiwan
tt0074506,Hong Kong
tt0074624,Taiwan
tt0074806,France
tt0074806,Canada
tt0075529,United States
tt0076095,United States
tt0076162,Japan
tt0076519,Hong Kong
tt0076716,United Kingdom
tt0076823,Italy
tt0077290,Hong Kong
tt0077399,United States
tt0077645,Italy
tt0077645,United States
tt0077645,Hong Kong
tt0077831,Hong Kong
tt0077975,United States
tt0078397,Yugoslavia
tt0078771,France
tt0079027,United States
tt0079483,Hong Kong
tt0079489,United States
tt0079588,United Kingdom
tt0079588,United States
tt0079803,Taiwan
tt0082235,United States
tt0082329,United States
tt0082468,United States
tt0082477,United Kingdom
tt0082562,Italy
tt0083542,United States
tt0083722,United States
tt0083791,United Kingdom
tt0083791,United States
tt0084922,Hong Kong
tt0085303,Italy
tt0085496,Spain
tt0086050,United States
tt0086439,United States
tt0086491,United States
tt0086525,United States
tt0087182,United States
tt0087182,Mexico
tt0087233,United States
tt0087317,West Germany
tt0087644,United States
tt0087650,Soviet Union
tt0087985,United States
tt0088271,West Germany
tt0088271,Austria
tt0089482,Hong Kong
tt0089606,Sweden
tt0089893,United States
tt0089893,Netherlands
tt0089893,Italy
tt0090490,United States
tt0091027,United States
tt0091223,United States
tt0092045,Australia
tt0092106,United States
tt0092106,Japan
tt0092359,United States
tt0092718,United States
tt0092718,Indonesia
tt0092830,Australia
tt0092830,United States
tt0092831,United Kingdom
tt0092831,Spain
tt0092831,United States
tt0093374,West Germany
tt0093374,France
tt0093605,United States
tt0094321,United States
tt0094535,United Kingdom
tt0094924,Australia
tt0094924,United Kingdom
tt0094924,United States
tt0095088,United States
tt0095467,Poland
tt0095491,Hong Kong
tt0095803,United States
tt0095963,United States
tt0096236,Hong Kong
tt0096267,United States
tt0096463,United States
tt0097778,United States
tt0098072,Italy
tt0098206,United States
tt0098273,United States
tt0098477,West Germany
tt0098532,Finland
tt0098532,Sweden
tt0098994,United States
tt0099363,United States
tt0099364,United States
tt0099472,France
tt0099472,United States
tt0099472,United Kingdom
tt0099474,United States
tt0099810,United States
tt0099817,United States
tt0099819,United States
tt0099975,Hong Kong
tt0100050,United States
tt0100605,Hong Kong
tt0100967,Hong Kong
tt0101169,United States
tt0101276,United Kingdom
tt0101276,France
tt0101660,United States
tt0101664,United States
tt0101921,United States
tt0102286,Hong Kong
tt0102343,United States
tt0102492,United States
tt0102958,Mexico
tt0103039,United States
tt0103352,Canada
tt0103905,Belgium
tt0104036,United Kingdom
tt0104036,Japan
tt0104054,United States
tt0104070,United States
tt0104662,Argentina
tt0104662,Canada
tt0104765,United States
tt0105592,Canada
tt0105592,United States
tt0105811,United States
tt0105903,China
tt0105903,Hong Kong
tt0105903,Taiwan
tt0106052,United States
tt0106053,United States
tt0106664,United States
tt0106941,United States
tt0107438,United States
tt0107473,United States
tt0108327,United States
tt0108551,United States
tt0109078,United States
tt0109307,United States
tt0109307,Japan
tt0109542,Romania
tt0109542,USA
tt0109550,Russia
tt0109550,United Kingdom
tt0109551,Canada
tt0109962,Hong Kong
tt0109965,United States
tt0109965,Japan
tt0110093,United States
tt0110391,United States
tt0110395,United States
tt0110613,United States
tt0110852,Hong Kong
tt0110982,United States
tt0111495,France
tt0111495,Switzerland
tt0111495,Poland
tt0111662,Hong Kong
tt0111727,USA
tt0112572,United States
tt0112606,United States
tt0113198,United States
tt0113198,Australia
tt0113198,France
tt0113198,Canada
tt0113198,Spain
tt0113356,Hong Kong
tt0113416,United States
tt0113703,Japan
tt0113729,United States
tt0114095,United States
tt0114188,United States
tt0114614,United States
tt0114781,United States
tt0115151,United States
tt0116030,United States
tt0116242,United States
tt0116414,United States
tt0116621,United States
tt0116743,United Kingdom
tt0116743,India
tt0116743,Japan
tt0116743,Germany
tt0116743,United States
tt0117891,United States
tt0117905,Hong Kong
tt0117911,United States
tt0118159,Canada
tt0118159,United States
tt0118491,United Kingdom
tt0118556,United States
tt0118694,Hong Kong
tt0118694,France
tt0118843,France
tt0118843,Germany
tt0118843,Federal Republic of Yugoslavia
tt0118843,Austria
tt0118843,Greece
tt0118929,Australia
tt0118929,United States
tt0118930,United States
tt0118930,Canada
tt0118930,Federal Republic of Yugoslavia
tt0119174,United States
tt0119572,United States
tt0119574,United Kingdom
tt0119574,Canada
tt0119574,Italy
tt0119577,United Kingdom
tt0119577,France
tt0119577,Japan
tt0119577,United States
tt0120689,United States
tt0120863,United States
tt0120885,United States
tt0123324,United States
tt0124315,United States
tt0124718,United States
tt0126698,Canada
tt0126916,United States
tt0127760,United States
tt0129023,United States
tt0133011,Brazil
tt0134858,United States
tt0137330,United States
tt0138097,United Kingdom
tt0138097,United States
tt0140745,United States
tt0141006,Canada
tt0141006,USA
tt0141006,Hong Kong
tt0142032,United States
tt0142032,Canada
tt0142032,Germany
tt0142032,Czech Republic
tt0143940,West Germany
tt0144201,France
tt0149593,United States
tt0150662,Sweden
tt0150662,Denmark
tt0153080,United States
tt0156812,United States
tt0160910,USA
tt0161191,United Kingdom
tt0165247,Hong Kong
tt0165247,South Korea
tt0165727,Taiwan
tt0165798,France
tt0165798,Germany
tt0165798,United States
tt0165798,Japan
tt0166252,United States
tt0167400,Turkey
tt0168629,Denmark
tt0168629,Germany
tt0168629,Netherlands
tt0168629,Italy
tt0168629,United States
tt0168629,United Kingdom
tt0168629,France
tt0168629,Sweden
tt0168629,Finland
tt0168629,Iceland
tt0168629,Norway
tt0172184,United States
tt0172184,Bulgaria
tt0172493,United States
tt0172493,Germany
tt0175142,United States
tt0185371,United States
tt0186619,Japan
tt0186726,United States
tt0188453,United Kingdom
tt0188453,United States
tt0188863,United States
tt0189649,United States
tt0190332,China
tt0190332,Taiwan
tt0190332,Hong Kong
tt0190332,United States
tt0190641,Japan
tt0190829,United States
tt0197951,Canada
tt0199725,United States
tt0199727,United Kingdom
tt0199753,United States
tt0199753,Australia
tt0201992,Hong Kong
tt0202109,Taiwan
tt0202880,Japan
tt0203233,Hong Kong
