imdbid,schauspieler
tt0008677,Theda Bara
tt0008677,Edward Roseman
tt0008677,Louis Dean
tt0009700,William S. Hart
tt0009700,Jane Novak
tt0009700,Milton Ross
tt0014547,Lenore Ulric
tt0014547,Forrest Stanley
tt0014547,Joseph J. Dowling
tt0014606,Priscilla Dean
tt0014606,Matt Moore
tt0014606,Raymond Griffith
tt0019004,Adolphe Menjou
tt0019004,Evelyn Brent
tt0019004,Rose Dione
tt0019760,Mikhail Kaufman
tt0019760,Elizaveta Svilova
tt0020481,Frank Merrill
tt0020481,Natalie Kingston
tt0020481,Al Ferguson
tt0020503,Monte Blue
tt0020503,Lupe Velez
tt0020503,H.B. Warner
tt0023594,Edward G. Robinson
tt0023594,Richard Arlen
tt0023594,Zita Johann
tt0024671,Pepe Ortiz
tt0024671,Lupita Gallardo
tt0024671,Adria Delhort
tt0025048,Marion Burns
tt0025048,Kane Richmond
tt0025048,Harry Woods
tt0025896,Anna May Wong
tt0025896,Henry Victor
tt0025896,Lawrence Grossmith
tt0027349,Barton MacLane
tt0027349,June Travis
tt0027349,Warren Hull
tt0030871,Kitty Jantzen
tt0030871,La Jana
tt0030871,Philip Dorn
tt0031885,Marcel Dalio
tt0031885,Nora Gregor
tt0031885,Paulette Dubost
tt0032566,Heather Angel
tt0032566,John 'Dusty' King
tt0032566,Constance Collier
tt0032599,Cary Grant
tt0032599,Rosalind Russell
tt0032599,Ralph Bellamy
tt0034587,Simone Simon
tt0034587,Tom Conway
tt0034587,Kent Smith
tt0036324,Hugh Sinclair
tt0036324,Jean Gillie
tt0036324,Gordon McLeod
tt0036439,Frank Buck
tt0036439,June Duprez
tt0036439,Duncan Renaldo
tt0036723,Rita Hayworth
tt0036723,Gene Kelly
tt0036723,Lee Bowman
tt0037378,Allan Lane
tt0037378,Linda Stirling
tt0037378,Duncan Renaldo
tt0038174,Pinto Colvig
tt0038174,Milt Kahl
tt0038174,James MacDonald
tt0040725,Anton Walbrook
tt0040725,Marius Goring
tt0040725,Moira Shearer
tt0040853,Edvin Adolphson
