imdbid,sprache
tt0003037,None
tt0003037,French
tt0004084,None
tt0008677,None
tt0009700,None
tt0014547,None
tt0014606,English
tt0016123,None
tt0016123,English
tt0016654,English
tt0019004,None
tt0019760,None
tt0020481,English
tt0020503,English
tt0021668,English
tt0022802,English
tt0023158,English
tt0023236,English
tt0023293,English
tt0023594,English
tt0023594,Portuguese
tt0024671,Spanish
tt0024894,English
tt0024894,Latin
tt0024894,Hungarian
tt0025048,English
tt0025488,English
tt0025896,English
tt0026123,English
tt0026264,English
tt0026663,English
tt0027221,English
tt0027349,English
tt0027367,English
tt0028767,English
tt0028767,German
tt0028767,French
tt0030871,German
tt0031208,English
tt0031210,English
tt0031593,English
tt0031593,French
tt0031885,French
tt0031885,German
tt0031885,English
tt0032258,English
tt0032383,English
tt0032566,English
tt0032599,English
tt0032599,French
tt0032617,English
tt0033397,English
tt0033616,English
tt0033616,Hindi
tt0033879,English
tt0033916,English
tt0034389,English
tt0034521,English
tt0034522,English
tt0034522,Spanish
tt0034587,English
tt0034587,Czech
tt0034587,Serbian
tt0035009,English
tt0035124,English
tt0035489,English
tt0035743,English
tt0036324,English
tt0036439,English
tt0036705,English
tt0036723,English
tt0036723,French
tt0036745,English
tt0036999,English
tt0037084,English
tt0037301,English
tt0037378,English
tt0037927,English
tt0038007,English
tt0038174,English
tt0038289,English
tt0038289,French
tt0038360,English
tt0038452,English
tt0038453,English
tt0038453,Italian
tt0038455,English
tt0038958,English
tt0038958,French
tt0038988,English
tt0039192,English
tt0039192,French
tt0039192,Nepali
tt0039302,English
tt0040270,English
tt0040725,English
tt0040725,French
tt0040725,Russian
tt0040853,Swedish
tt0041154,Japanese
tt0041182,English
tt0041430,English
tt0041627,English
tt0041699,Japanese
tt0041699,French
tt0042256,English
tt0042379,English
tt0042600,English
tt0043084,None
tt0043208,English
tt0043208,Spanish
tt0044098,German
tt0044423,English
tt0045129,English
tt0045300,English
tt0046026,English
tt0046036,English
tt0046097,Italian
tt0046248,English
tt0046789,English
tt0046791,English
tt0046874,English
tt0046876,English
tt0046876,Spanish
tt0046928,English
tt0047244,English
tt0047505,English
tt0047628,Russian
tt0047849,English
tt0047898,English
tt0048316,English
tt0048316,Mandarin
tt0048317,English
tt0049013,English
tt0049452,English
tt0049761,Arabic
tt0049854,English
tt0049873,English
tt0050099,French
tt0050099,Italian
tt0050099,Albanian
tt0050099,English
tt0050143,English
tt0050197,English
tt0050197,Spanish
tt0050233,English
tt0050658,English
tt0050658,French
tt0050722,English
tt0050723,English
tt0051063,English
tt0051459,English
tt0051576,English
tt0051576,French
tt0051604,French
tt0051702,English
tt0051732,English
tt0051744,English
tt0051746,English
tt0051756,English
tt0051947,English
tt0051948,English
tt0052295,German
tt0052631,English
tt0052631,Italian
tt0052667,Italian
tt0052846,English
tt0052901,English
tt0052964,French
tt0053114,Japanese
tt0053114,Mandarin
tt0053146,Portuguese
tt0053361,English
tt0053361,Polish
tt0053361,Spanish
tt0053750,English
tt0054022,English
tt0054022,French
tt0054022,German
tt0054022,Chinese
tt0054022,Italian
tt0054022,Arabic
tt0054067,Italian
tt0054067,English
tt0054197,English
